CaseID,choice,choice_set,advisory_1,advisory_2,advisory_3,catch_per_trip_1,catch_per_trip_2,catch_per_trip_3,wqi_1,wqi_2,wqi_3,proportion_1,proportion_2,proportion_3,weed_1,weed_2,weed_3,cost_1,cost_2,cost_3
55,2,1,1.5,0.4,1.15,1,4,2,0.95,0.47,0.47,0.85,0.65,0.85,0.1,0.3,0.3,350,20,0
55,2,2,1.5,0.4,1.15,1,4,2,0.95,0.85,0.47,1,0.45,0.85,0.1,0.3,0.3,70,70,0
55,2,3,0.75,1.15,1.15,1,2,2,0.3,0.95,0.47,0.65,0.65,0.85,0.1,0.5,0.3,20,350,0
55,1,4,0.4,1.5,1.15,2,2,2,0.95,0.47,0.47,1,0.45,0.85,0.5,0.1,0.3,135,135,0
55,2,5,0.4,1.5,1.15,4,3,2,0.47,0.95,0.47,0.65,0.65,0.85,0.1,0.2,0.3,20,350,0
55,1,6,1.5,0.4,1.15,3,4,2,0.3,0.3,0.47,0.45,1,0.85,0.1,0.5,0.3,135,350,0
58,2,1,1.5,0.4,1.15,1,4,2,0.47,0.3,0.47,1,0.45,0.85,0.1,0.2,0.3,135,20,0
58,2,2,1.15,1.15,1.15,4,2,2,0.95,0.95,0.47,0.45,1,0.85,0.5,0.1,0.3,350,70,0
58,3,3,1.5,0.4,1.15,3,4,2,0.47,0.3,0.47,0.45,1,0.85,0.2,0.1,0.3,350,70,0
58,3,4,0.4,0.4,1.15,4,1,2,0.3,0.95,0.47,0.65,0.45,0.85,0.1,0.3,0.3,350,20,0
58,3,5,0.4,1.15,1.15,1,4,2,0.3,0.47,0.47,1,1,0.85,0.1,0.5,0.3,20,20,0
58,1,6,0.75,1.5,1.15,2,1,2,0.85,0.3,0.47,0.45,1,0.85,0.5,0.2,0.3,350,70,0
61,1,1,1.5,0.4,1.15,3,1,2,0.47,0.95,0.47,0.45,1,0.85,0.2,0.5,0.3,350,230,0
61,2,2,1.5,0.4,1.15,4,1,2,0.47,0.85,0.47,0.65,0.45,0.85,0.5,0.2,0.3,20,230,0
61,1,3,0.4,1.15,1.15,4,1,2,0.85,0.3,0.47,0.85,0.65,0.85,0.1,0.1,0.3,350,70,0
61,2,4,1.5,0.4,1.15,4,1,2,0.95,0.95,0.47,0.45,0.85,0.85,0.3,0.2,0.3,230,350,0
61,2,5,1.15,0.4,1.15,4,1,2,0.95,0.47,0.47,0.45,0.45,0.85,0.1,0.3,0.3,70,350,0
61,1,6,0.75,0.4,1.15,4,2,2,0.95,0.3,0.47,0.45,0.85,0.85,0.5,0.2,0.3,20,135,0
63,1,1,0.75,1.5,1.15,1,3,2,0.95,0.3,0.47,1,0.45,0.85,0.1,0.1,0.3,350,20,0
63,1,2,1.5,0.4,1.15,2,2,2,0.85,0.95,0.47,0.45,1,0.85,0.5,0.1,0.3,135,20,0
63,1,3,1.5,1.15,1.15,4,1,2,0.47,0.95,0.47,0.45,1,0.85,0.5,0.1,0.3,70,230,0
63,2,4,0.4,1.5,1.15,3,1,2,0.47,0.95,0.47,0.45,1,0.85,0.3,0.5,0.3,20,70,0
63,1,5,0.75,1.5,1.15,4,1,2,0.95,0.3,0.47,0.85,0.45,0.85,0.5,0.5,0.3,230,20,0
63,1,6,1.5,0.4,1.15,2,4,2,0.95,0.3,0.47,0.65,0.85,0.85,0.5,0.2,0.3,135,70,0
64,2,1,0.75,1.5,1.15,1,4,2,0.3,0.85,0.47,0.45,0.85,0.85,0.5,0.2,0.3,350,20,0
64,1,2,0.4,0.75,1.15,4,1,2,0.85,0.95,0.47,0.85,1,0.85,0.5,0.1,0.3,20,350,0
64,2,3,1.15,0.75,1.15,1,4,2,0.95,0.47,0.47,1,0.45,0.85,0.3,0.1,0.3,70,20,0
64,2,4,0.4,1.5,1.15,2,4,2,0.3,0.3,0.47,0.85,0.85,0.85,0.2,0.5,0.3,350,20,0
64,1,5,0.75,1.15,1.15,4,1,2,0.85,0.95,0.47,1,0.45,0.85,0.5,0.1,0.3,70,230,0
64,3,6,1.15,0.4,1.15,4,1,2,0.3,0.95,0.47,1,1,0.85,0.2,0.5,0.3,135,135,0
73,1,1,0.75,1.15,1.15,1,4,2,0.47,0.95,0.47,0.65,0.45,0.85,0.1,0.5,0.3,20,350,0
73,2,2,0.75,1.5,1.15,1,4,2,0.3,0.85,0.47,0.45,0.65,0.85,0.5,0.1,0.3,230,20,0
73,2,3,1.5,1.5,1.15,4,1,2,0.47,0.95,0.47,1,0.45,0.85,0.1,0.5,0.3,70,135,0
