"CaseID","non_VI"
"55","0"
"58","0"
"61","0"
"63","0"
"64","0"
"65","0"
"73","0"
"79","0"
"80","0"
"81","0"
"86","0"
"89","0"
"92","0"
"95","0"
"98","0"
"99","0"
"103","0"
"106","0"
"107","0"
"111","0"
"113","0"
"116","0"
"117","0"
"118","0"
"121","0"
"123","0"
"126","0"
"127","0"
"132","0"
"137","0"
"140","0"
"141","0"
"143","0"
"153","0"
"154","0"
"155","0"
"158","0"
"168","0"
"176","0"
"179","0"
"183","0"
"185","0"
"192","0"
"198","0"
"204","0"
"206","0"
"216","0"
"222","0"
"224","0"
"229","0"
"232","0"
"233","0"
"237","0"
"245","0"
"248","0"
"255","0"
"259","0"
"266","0"
"274","0"
"276","0"
"277","0"
"278","0"
"280","0"
"283","0"
"284","0"
"286","0"
"289","0"
"293","0"
"299","0"
"302","0"
"306","0"
"309","0"
"312","0"
"314","0"
"316","0"
"319","0"
"327","0"
"332","0"
"335","0"
"337","0"
"341","0"
"352","0"
"360","0"
"361","0"
"365","0"
"368","0"
"369","0"
"371","0"
"375","0"
"380","0"
"383","0"
"388","0"
"392","0"
"400","0"
"402","0"
"409","0"
"410","0"
"411","0"
"417","0"
"418","0"
"420","0"
"424","0"
"430","0"
"432","0"
"439","0"
"453","0"
"455","0"
"471","0"
"485","0"
"486","0"
"487","0"
"490","0"
"498","0"
"501","0"
"505","0"
"510","0"
"512","0"
"513","0"
"514","0"
"516","0"
"518","0"
"519","0"
"525","0"
"530","0"
"536","0"
"541","0"
"545","0"
"555","0"
"557","0"
"558","0"
"565","0"
"582","0"
"583","0"
"587","0"
"596","0"
"597","0"
"600","0"
"602","0"
"611","0"
"619","0"
"620","0"
"625","0"
"627","0"
"628","0"
"629","0"
"633","0"
"639","0"
"642","0"
"648","0"
"663","0"
"670","0"
"672","0"
"674","0"
"677","0"
"693","0"
"699","0"
"707","0"
"712","0"
"714","0"
"721","0"
"723","0"
"728","0"
"743","0"
"750","0"
"752","0"
"756","0"
"763","0"
"767","0"
"770","0"
"774","0"
"792","0"
"793","0"
"798","0"
"804","0"
"818","0"
"825","0"
"843","0"
"848","0"
"851","0"
"855","0"
"856","0"
"857","0"
"859","0"
"862","0"
"867","0"
"869","0"
"873","0"
"874","0"
"878","0"
"890","0"
"896","0"
"900","0"
"903","0"
"906","0"
"907","0"
"908","0"
"912","0"
"916","0"
"918","0"
"933","0"
"941","0"
"943","0"
"944","0"
"949","0"
"962","0"
"977","0"
"996","0"
"1000","0"
"1011","0"
"1024","0"
"1028","0"
"1029","0"
"1041","0"
"1044","0"
"1081","0"
"1085","0"
"1099","0"
"1105","0"
"1112","0"
"1131","0"
"1143","0"
"1145","0"
"1148","0"
"1153","0"
"1155","0"
"1160","0"
"1162","0"
"1164","0"
"1165","0"
"1166","0"
"1167","0"
"1174","0"
"1176","0"
"1181","0"
"1185","0"
"1196","0"
"1197","0"
"1199","0"
"1200","0"
"1202","0"
"1203","0"
"1204","0"
"1208","0"
"1210","0"
"1221","0"
"1222","0"
"1224","0"
"1232","0"
"1233","0"
"1236","0"
"1238","0"
"1242","0"
"1244","0"
"1250","0"
"1255","0"
"1258","0"
"1262","0"
"1263","0"
"1264","0"
"1267","0"
"1269","0"
"1270","0"
"1273","0"
"1274","0"
"1279","0"
"1281","0"
"1285","0"
"1294","0"
"1299","0"
"1305","0"
"1312","0"
"1316","0"
"1317","0"
"1327","0"
"1344","0"
"1345","0"
"1346","0"
"1348","0"
"1349","0"
"1364","0"
"1367","0"
"1369","0"
"1378","0"
"1381","0"
"1385","0"
"1394","0"
"1402","0"
"1404","0"
"1410","0"
"1413","0"
"1422","0"
"1435","0"
"1443","0"
"1447","0"
"1468","0"
"1471","0"
"1474","0"
"1479","0"
"1495","0"
"1497","0"
"1500","0"
"1504","0"
"1511","0"
"1512","0"
"1516","0"
"1524","0"
"1532","0"
"1535","0"
"1536","0"
"1539","0"
"1573","0"
"1579","0"
"1584","0"
"1586","0"
"1587","0"
"1588","0"
"1598","0"
"1599","0"
"1600","0"
"1605","0"
"1607","0"
"1612","0"
"1619","0"
"1622","0"
"1629","0"
"1639","0"
"1643","0"
"1658","0"
"1660","0"
"1662","0"
"1674","0"
"1688","0"
"1689","0"
"1694","0"
"1699","0"
"1703","0"
"1709","0"
"1719","0"
"1728","0"
"1740","0"
"1751","0"
"1752","0"
"1753","0"
"1759","0"
"1781","0"
"1782","0"
"1783","0"
"1786","0"
"1803","0"
"1807","0"
"1812","0"
"1814","0"
"1815","0"
"1820","0"
"1822","0"
"1823","0"
"1835","0"
"1836","0"
"1839","0"
"1840","0"
"1841","0"
"1855","0"
"1862","0"
"1872","0"
"1873","0"
"1875","0"
"1876","0"
"1880","0"
"1895","0"
"1904","0"
"1906","0"
"1908","0"
"1913","0"
"1916","0"
"1919","0"
"1925","0"
"1926","0"
"1941","0"
"1955","0"
"1964","0"
"1966","0"
"1967","0"
"1977","0"
"1978","0"
"1979","0"
"1985","0"
"1986","0"
"2000","0"
"2001","0"
"2010","0"
"2011","0"
"2024","0"
"2025","0"
"2026","0"
"2047","0"
"2061","0"
"2084","0"
"2095","0"
"2096","0"
"2098","0"
"2102","0"
"2111","0"
"2112","0"
"2115","0"
"2123","0"
"2124","0"
"2125","0"
"2130","0"
"2132","0"
"2134","0"
"2137","0"
"2142","0"
"2158","0"
"2159","0"
"2161","0"
"2166","0"
"2169","0"
"2174","0"
"2185","0"
"2186","0"
"2201","0"
"2202","0"
"2203","0"
"2207","0"
"2213","0"
"2222","0"
"2229","0"
"2247","0"
"2249","0"
"2261","0"
"2269","0"
"2283","0"
"2292","0"
"2302","0"
"2304","0"
"2316","0"
"2320","0"
"2327","0"
"2339","0"
"2352","0"
"2356","0"
"2357","0"
"2358","0"
"2372","0"
"2374","0"
"2380","0"
"2381","0"
"2388","0"
"2390","0"
"2391","0"
"2396","0"
"2398","0"
"2400","0"
"2401","0"
"2404","0"
"2411","0"
"2420","0"
"2429","0"
"2436","0"
"2438","0"
"2442","0"
"2445","0"
"2454","0"
"2455","0"
"2456","0"
"2463","0"
"2474","0"
"2476","0"
"2477","0"
"2481","0"
"2482","0"
"2488","0"
"2492","0"
"2501","0"
"2510","0"
"2512","0"
"2515","0"
"2520","0"
"2522","0"
"2525","0"
"2528","0"
"2529","0"
"2532","0"
"2535","0"
"2538","0"
"2541","0"
"2542","0"
"2544","0"
"2546","0"
"2556","0"
"2557","0"
"2560","0"
"2563","0"
"2564","0"
"2571","0"
"2573","0"
"2574","0"
"2577","0"
"2578","0"
"2580","0"
"2588","0"
"2589","0"
"2594","0"
"2598","0"
"2600","0"
"2604","0"
"2607","0"
"2612","0"
"2618","0"
"2619","0"
"2630","0"
"2635","0"
"2636","0"
"2637","0"
"2641","0"
"2651","0"
"2654","0"
"2660","0"
"2677","0"
"2692","0"
"2697","0"
"2714","0"
"2718","0"
"2719","0"
"2730","0"
"2736","0"
"2740","0"
"2741","0"
"2743","0"
"2747","0"
"2748","0"
"2750","0"
"2754","0"
"2760","0"
"2762","0"
"2765","0"
"2766","0"
"2772","0"
"2774","0"
"2775","0"
"2776","0"
"2783","0"
"2790","0"
"2792","0"
"2794","0"
"2800","0"
"2805","0"
"2806","0"
"2821","0"
"2824","0"
"2825","0"
"2831","0"
"2833","0"
"2837","0"
"2839","0"
"2841","0"
"2847","0"
"2848","0"
"2852","0"
"2853","0"
"2858","0"
"2865","0"
"2870","0"
"2875","0"
"2876","0"
"2882","0"
"2883","0"
"3149","0"
"3150","0"
"3151","0"
"3152","0"
"3153","0"
"7112","0"
"7113","0"
"7114","0"
"7116","0"
"7118","0"
"7119","0"
"7120","0"
"7121","0"
"7123","0"
"7125","0"
"7127","0"
"7128","0"
"7130","0"
"7132","0"
"7136","0"
"7138","0"
"7139","0"
"7141","0"
"7142","0"
"7143","0"
"7149","0"
"7150","0"
"7152","0"
"7153","0"
"7156","0"
"7157","0"
"7162","0"
"7164","0"
"7166","0"
"7174","0"
"7176","0"
"7177","0"
"7178","0"
"7179","0"
"7180","0"
"7181","0"
"7183","0"
"7184","0"
"7188","0"
"7191","0"
"7193","0"
"7196","0"
"7198","0"
"7200","0"
"7201","0"
"7202","0"
"7203","0"
"7205","0"
"7207","0"
"7209","0"
"7211","0"
"7212","0"
"7215","0"
"7219","0"
"7220","0"
"7221","0"
"7225","0"
"7228","0"
"7231","0"
"7232","0"
"7235","0"
"7237","0"
"7238","0"
"7239","0"
"7241","0"
"7242","0"
"7245","0"
"7246","0"
"7247","0"
"7248","0"
"7255","0"
"7257","0"
"7261","0"
"7264","0"
"7265","0"
"7267","0"
"7269","0"
"7271","0"
"7272","0"
"7273","0"
"7274","0"
"7278","0"
"7279","0"
"7280","0"
"7281","0"
"7282","0"
"7285","0"
"7286","0"
"7287","0"
"7290","0"
"7291","0"
"7293","0"
"7296","0"
"7298","0"
"7301","0"
"7302","0"
"7304","0"
"7307","0"
"7315","0"
"7317","0"
"7321","0"
"7323","0"
"7325","0"
"7326","0"
"7327","0"
"7330","0"
"7333","0"
"7335","0"
"7338","0"
"7340","0"
"7341","0"
"7344","0"
"7346","0"
"7350","0"
"7351","0"
"7353","0"
"7356","0"
"7357","0"
"7359","0"
"7360","0"
"7363","0"
"7364","0"
"7366","0"
"7367","0"
"7368","0"
"7369","0"
"7370","0"
"7372","0"
"7639","0"
"7640","0"
"7641","0"
"7643","0"
"7646","0"
"7649","0"
"7650","0"
"7651","0"
"7652","0"
"7653","0"
"7654","0"
"7655","0"
"7659","0"
"7660","0"
"7665","0"
"7666","0"
"7668","0"
"7669","0"
"7671","0"
"7672","0"
"7673","0"
"7678","0"
"7680","0"
"7682","0"
"7683","0"
"7684","0"
"7685","0"
"7688","0"
"7693","0"
"7694","0"
"7695","0"
"7696","0"
"7699","0"
"7701","0"
"7703","0"
"7705","0"
